target_id	length	eff_length	est_counts	tpm
AT1G09795.1	1516	1337	40	39.1867
AT1G80380.2	1704	1525	79	67.8527
AT1G55890.1	1455	1276	23	23.6095
AT1G65520.1	962	783	5	8.36408
AT1G49650.1	1383	1204	12	13.0546
AT1G36690.1	2077	1898	0	0
AT1G75230.2	1436	1257	2	2.08403
AT1G44050.1	2253	2074	0	0
AT1G09370.1	540	361	0	0
AT1G50910.1	1927	1748	5.24589	3.93086
AT1G75140.1	2227	2048	11	7.03514
AT1G80370.1	1588	1409	1	0.929606
AT1G36740.1	1888	1709	0	0
AT1G36730.1	2286	2107	37	23.001
AT1G75150.1	2738	2559	2	1.02369
AT1G12580.1	1972	1793	26	18.9934
AT1G36720.1	4404	4225	0	0
AT1G36975.1	4391	4212	0	0
AT1G73850.1	2091	1912	2	1.3701
AT1G17380.1	1133	954	0	0
AT1G31885.1	972	793	1	1.65172
AT1G77360.1	1554	1375	0	0
AT1G44030.1	2407	2228	0	0
AT1G65540.1	2211	2032	30	19.3378
AT1G09380.1	1568	1389	0	0
AT1G44045.1	5031	4852	0	0
AT1G44040.1	1401	1222	0	0
AT1G77470.1	1468	1289	10	10.1615
AT1G36745.1	333	154	0	0
AT1G23190.1	2112	1933	59	39.9788
AT1G12570.1	2027	1848	6	4.25265
AT1G36970.1	1320	1141	0	0
AT1G15980.1	1566	1387	102	96.3238
AT1G77490.1	1596	1417	54	49.9153
AT1G10960.1	654	475	144	397.081
AT1G67130.1	1176	997	0	0
AT1G55900.1	1534	1355	10	9.66653
AT1G15990.1	2130	1951	1	0.671356
AT1G75160.1	1465	1286	0	0
AT1G44060.1	2523	2344	0	0
AT1G49640.1	1192	1013	0	0
AT1G36700.1	564	385	0	0
AT1G36990.1	2837	2658	16	7.88451
AT1G44070.1	3855	3676	0	0
AT1G12600.1	1279	1100	0	0
AT1G42300.1	1052	873	0	0
AT1G09730.1	3386	3207	23	9.39375
AT1G77340.1	1486	1307	0	0
AT1G12650.1	1203	1024	17	21.745
AT1G70840.1	756	577	0	0
AT1G49700.1	840	661	9	17.8341
AT1G36980.1	678	499	48	125.994
AT1G65550.1	1626	1447	0	0
AT1G21090.1	1313	1134	2	2.31008
AT1G28520.1	2129	1950	19	12.7623
AT1G42290.1	3130	2951	0	0
AT1G79600.1	2490	2311	49	27.7719
AT1G36710.1	1294	1115	0	0
AT1G65950.1	1837	1658	4	3.15999
AT1G70850.1	1282	1103	604.826	718.232
AT1G09720.1	2787	2608	0	0
AT1G44085.1	273	94.0001	0	0
AT1G77350.1	813	634	12	24.7914
AT1G80420.1	1510	1331	28	27.5543
AT1G36880.1	1883	1704	0	0
AT1G65930.1	1703	1524	308	264.713
AT1G74930.1	918	739	3	5.31725
AT1G43845.1	597	418	0	0
AT1G51050.1	612	433	0	0
AT1G77410.1	2638	2459	4	2.13065
AT1G74840.1	1190	1011	42	54.4137
AT1G51140.1	1625	1446	13	11.7757
AT1G43850.1	3688	3509	35	13.0646
AT1G09550.1	1240	1061	0	0
AT1G51150.1	660	481	0	0
AT1G09640.1	1795	1616	144.953	117.489
AT1G43840.1	2143	1964	0	0
AT1G36840.1	3210	3031	0	0
AT1G10920.1	2847	2668	8	3.92748
AT1G36850.1	1896	1717	0	0
AT1G09540.1	1498	1319	0	0
AT1G71015.1	840	661	2	3.96313
AT1G09630.1	938	759	13	22.4342
AT1G42393.1	657	478	0	0
AT1G77400.1	1054	875	1	1.49693
AT1G74860.1	1598	1419	2	1.84611
AT1G73840.1	1455	1276	18	18.477
AT1G36925.1	525	346	0	0
AT1G74920.1	1843	1664	76	59.8233
AT1G09580.1	921	742	6	10.5915
AT1G79190.1	4067	3888	6	2.02132
